url,result,confidence_score,gpt_classification
opencart.com,Proceed,Error,N/A,Scraping or classification failed
flippingbook.com,Proceed,Error,N/A,Scraping or classification failed
mykajabi.com,No fit,Error,N/A,Scraping or classification failed
nasdaq.com,No fit,Error,N/A,Scraping or classification failed
wustl.edu,No fit,Error,N/A,Scraping or classification failed
hostpapa.com,Proceed,Error,N/A,Scraping or classification failed
byu.edu,No fit,Error,N/A,Scraping or classification failed
dynadot.com,Proceed,Error,N/A,Scraping or classification failed
livehelpnow.net,Proceed,Error,N/A,Scraping or classification failed
goodfirms.co,Proceed,Error,N/A,Scraping or classification failed
venngage.com,Proceed,Error,N/A,Scraping or classification failed
cyberpanel.net,Proceed,Error,N/A,Scraping or classification failed
tmcnet.com,No fit,Error,N/A,Scraping or classification failed
pixpa.com,Proceed,Error,N/A,Scraping or classification failed
agilecrm.com,Proceed,Error,N/A,Scraping or classification failed
timify.com,Proceed,Error,N/A,Scraping or classification failed
hostadvice.com,No fit,Error,N/A,Scraping or classification failed
sortlist.com,Proceed,Error,N/A,Scraping or classification failed
appsgeyser.com,Proceed,Error,N/A,Scraping or classification failed
involve.me,Proceed,Error,N/A,Scraping or classification failed
surveysparrow.com,Proceed,Error,N/A,Scraping or classification failed
usp.org,No fit,Error,N/A,Scraping or classification failed
hubstaff.com,Proceed,Error,N/A,Scraping or classification failed
designhill.com,Proceed,Error,N/A,Scraping or classification failed
cloudtalk.io,Proceed,Error,N/A,Scraping or classification failed
brafton.com,Proceed,Error,N/A,Scraping or classification failed
giosg.com,Proceed,Error,N/A,Scraping or classification failed
outgrow.co,Proceed,Error,N/A,Scraping or classification failed
shipbob.com,Proceed,Error,N/A,Scraping or classification failed
myvoffice.com,No fit,Error,N/A,Scraping or classification failed
ceu.edu,No fit,Error,N/A,Scraping or classification failed
britishchambers.org.uk,No fit,Error,N/A,Scraping or classification failed
softwaresuggest.com,Proceed,Error,N/A,Scraping or classification failed
accredible.com,Proceed,Error,N/A,Scraping or classification failed
hackerearth.com,Proceed,Error,N/A,Scraping or classification failed
xat.com,No fit,Error,N/A,Scraping or classification failed
luisazhou.com,No fit,Error,N/A,Scraping or classification failed
educba.com,No fit,Error,N/A,Scraping or classification failed
zonkafeedback.com,Proceed,Error,N/A,Scraping or classification failed
paltalk.com,No fit,Error,N/A,Scraping or classification failed
hayward-pool.com,No fit,Error,N/A,Scraping or classification failed
botsify.com,Proceed,Error,N/A,Scraping or classification failed
topdesignfirms.com,Proceed,Error,N/A,Scraping or classification failed
usersnap.com,Proceed,Error,N/A,Scraping or classification failed
wisdmlabs.com,Proceed,Error,N/A,Scraping or classification failed
logo.com,Proceed,Error,N/A,Scraping or classification failed
leadsbridge.com,Proceed,Error,N/A,Scraping or classification failed
clearout.io,Proceed,Error,N/A,Scraping or classification failed
notifyvisitors.com,Proceed,Error,N/A,Scraping or classification failed
proposify.com,Proceed,Error,N/A,Scraping or classification failed
smith.ai,Proceed,Error,N/A,Scraping or classification failed
cience.com,Proceed,Error,N/A,Scraping or classification failed
101.43.178.182,No fit,Error,N/A,Scraping or classification failed
paperturn.com,No fit,Error,N/A,Scraping or classification failed
glideapps.com,Proceed,Error,N/A,Scraping or classification failed
kickresume.com,Proceed,Error,N/A,Scraping or classification failed
setupad.com,Proceed,Error,N/A,Scraping or classification failed
aicontentfy.com,Proceed,Error,N/A,Scraping or classification failed
photoadking.com,No fit,Error,N/A,Scraping or classification failed
corporatevision-news.com,No fit,Error,N/A,Scraping or classification failed
lightspeedvt.com,Proceed,Error,N/A,Scraping or classification failed
plytix.com,Proceed,Error,N/A,Scraping or classification failed
clicdata.com,Proceed,Error,N/A,Scraping or classification failed
improvado.io,Proceed,Error,N/A,Scraping or classification failed
scalefusion.com,Proceed,Error,N/A,Scraping or classification failed
bcast.fm,No fit,Error,N/A,Scraping or classification failed
3web.ne.jp,No fit,Error,N/A,Scraping or classification failed
strongdm.com,Proceed,Error,N/A,Scraping or classification failed
shoeboxed.com,Proceed,Error,N/A,Scraping or classification failed
chameleon.io,Proceed,Error,N/A,Scraping or classification failed
breadcrumbs.io,Proceed,Error,N/A,Scraping or classification failed
apploye.com,Proceed,Error,N/A,Scraping or classification failed
trackwrestling.com,No fit,Error,N/A,Scraping or classification failed
newbreedrevenue.com,Proceed,Error,N/A,Scraping or classification failed
weareplanet.com,Proceed,Error,N/A,Scraping or classification failed
bettermode.com,Proceed,Error,N/A,Scraping or classification failed
wearedevelopers.com,Proceed,Error,N/A,Scraping or classification failed
inbeat.co,Proceed,Error,N/A,Scraping or classification failed
auslogics.com,Proceed,Error,N/A,Scraping or classification failed
techimply.com,Proceed,Error,N/A,Scraping or classification failed
earth-policy.org,No fit,Error,N/A,Scraping or classification failed
aajjo.com,No fit,Error,N/A,Scraping or classification failed
15navi.com,No fit,Error,N/A,Scraping or classification failed
upmetrics.co,Proceed,Error,N/A,Scraping or classification failed
1871.com,No fit,Error,N/A,Scraping or classification failed
beomniscient.com,No fit,Error,N/A,Scraping or classification failed
webgility.com,Proceed,Error,N/A,Scraping or classification failed
adoric.com,Proceed,Error,N/A,Scraping or classification failed
acecloudhosting.com,Proceed,Error,N/A,Scraping or classification failed
globalapptesting.com,Proceed,Error,N/A,Scraping or classification failed
cleverads.com,Proceed,Error,N/A,Scraping or classification failed
scanova.io,No fit,Error,N/A,Scraping or classification failed
softwarekeep.com,Proceed,Error,N/A,Scraping or classification failed
growthcollective.com,Proceed,Error,N/A,Scraping or classification failed
coderpad.io,Proceed,Error,N/A,Scraping or classification failed
skillsuccess.com,No fit,Error,N/A,Scraping or classification failed
litcommerce.com,Proceed,Error,N/A,Scraping or classification failed
the-blogsmith.com,Proceed,Error,N/A,Scraping or classification failed
invitereferrals.com,Proceed,Error,N/A,Scraping or classification failed
